time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-24T07:13:22.000Z,59.6358,-151.0895,13.8,1.5,ml,,,,0.7,ak,ak13691876,2016-06-24T08:27:17.553Z,"16km SE of Fritz Creek, Alaska",earthquake,0.4,0.1,,,automatic,ak,ak
2016-06-24T06:32:51.360Z,36.8498344,-121.5766678,4.95,1.33,md,11,185,0.03667,0.05,nc,nc72654811,2016-06-24T08:42:02.341Z,"3km W of San Juan Bautista, California",earthquake,0.52,0.44,0.42,6,automatic,nc,nc
2016-06-24T06:26:46.570Z,34.267,-118.6066667,18.75,1.12,ml,28,95,0.04024,0.23,ci,ci37611656,2016-06-24T14:06:07.366Z,"1km NNW of Chatsworth, CA",earthquake,0.47,0.64,0.062,9,reviewed,ci,ci
2016-06-24T06:24:20.570Z,47.7018333,-121.476,4.44,2.21,ml,14,147,0.144,0.41,uw,uw61157717,2016-06-24T12:36:21.354Z,"23km SE of Gold Bar, Washington",earthquake,1.06,3.28,0.145,59,reviewed,uw,uw
2016-06-24T05:38:03.120Z,38.8064995,-122.817337,2.79,1.77,md,19,107,0.009549,0.02,nc,nc72654786,2016-06-24T06:27:03.921Z,"6km WNW of The Geysers, California",earthquake,0.32,0.47,0.07,4,automatic,nc,nc
2016-06-24T05:21:24.000Z,63.5578,-147.5419,0,1.3,ml,,,,0.61,ak,ak13691872,2016-06-24T06:03:35.590Z,"72km ENE of Cantwell, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-06-24T04:48:44.000Z,63.0866,-150.8537,128.9,2,ml,,,,0.24,ak,ak13691867,2016-06-24T06:03:34.957Z,"93km NNW of Talkeetna, Alaska",earthquake,0.4,0.7,,,automatic,ak,ak
2016-06-24T04:20:27.000Z,18.8829,-64.6999,7,2.2,Md,3,302.4,0.47071721,0.12,pr,pr16176003,2016-06-24T07:32:49.748Z,"52km N of Road Town, British Virgin Islands",earthquake,1.7,1.9,0,3,reviewed,pr,pr
2016-06-24T03:36:09.970Z,19.2003326,-155.5345001,35.65,1.97,ml,46,72,0.0584,0.14,hv,hv61308386,2016-06-24T03:41:49.120Z,"5km W of Pahala, Hawaii",earthquake,0.48,0.62,0.58,3,automatic,hv,hv
2016-06-24T03:32:17.000Z,60.4956,-152.1187,91.5,1.5,ml,,,,0.17,ak,ak13691290,2016-06-24T04:29:24.152Z,"34km E of Redoubt Volcano, Alaska",earthquake,1,1.5,,,automatic,ak,ak
2016-06-24T03:29:43.840Z,-55.443,-128.0805,10,5,mb,,70,31.37,1.05,us,us200066e7,2016-06-24T04:20:26.855Z,"Pacific-Antarctic Ridge",earthquake,14.2,1.8,0.105,29,reviewed,us,us
2016-06-24T02:44:39.000Z,63.2447,-151.2128,0,1,ml,,,,0.47,ak,ak13691284,2016-06-24T03:45:18.937Z,"114km W of Cantwell, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
2016-06-24T02:36:32.700Z,17.9522,-66.8261,10,2.5,Md,17,172.8,0.05479723,0.2,pr,pr16176000,2016-06-24T03:05:55.850Z,"4km S of Indios, Puerto Rico",earthquake,0.5,0.6,0,10,reviewed,pr,pr
2016-06-24T02:25:48.000Z,59.9334,-152.4549,84.9,1.9,ml,,,,0.54,ak,ak13691280,2016-06-24T03:45:18.143Z,"39km WNW of Anchor Point, Alaska",earthquake,0.5,0.7,,,automatic,ak,ak
2016-06-24T02:19:48.000Z,60.2089,-151.2195,1.1,1.5,ml,,,,0.43,ak,ak13691279,2016-06-24T02:57:52.333Z,"18km SSE of Cohoe, Alaska",earthquake,0.7,3.9,,,automatic,ak,ak
2016-06-24T01:46:35.180Z,33.9916667,-118.5236667,9.28,2.85,ml,79,69,0.07104,0.25,ci,ci37611456,2016-06-24T02:20:48.800Z,"4km SW of Santa Monica, CA",earthquake,0.26,0.57,0.219,198,reviewed,ci,ci
2016-06-24T01:37:59.190Z,33.4201667,-116.612,8.27,1.04,ml,38,68,0.07479,0.11,ci,ci37611440,2016-06-24T02:27:56.210Z,"16km N of Warner Springs, CA",earthquake,0.15,0.31,0.192,31,reviewed,ci,ci
2016-06-24T01:29:33.210Z,37.5708351,-118.8824997,4.18,1.12,md,14,170,0.04654,0.02,nc,nc72654741,2016-06-24T01:45:03.101Z,"11km SE of Mammoth Lakes, California",earthquake,0.43,0.6,0.06,12,automatic,nc,nc
2016-06-24T01:26:24.764Z,39.4777,-118.1058,9.4,1.7,ml,14,122.92,0.168,0.1731,nn,nn00549197,2016-06-24T01:56:30.120Z,"57km E of Fallon, Nevada",earthquake,,3.9,0.26,14,reviewed,nn,nn
2016-06-24T01:10:56.000Z,59.8282,-152.9577,98.5,2.3,ml,,,,0.41,ak,ak13690700,2016-06-24T02:04:02.434Z,"63km W of Anchor Point, Alaska",earthquake,0.6,0.6,,,automatic,ak,ak
2016-06-24T00:41:35.100Z,-2.6586,110.1285,16.04,4.7,mb,,69,4.108,0.55,us,us200066dl,2016-06-24T01:07:28.316Z,"102km WSW of Manismata, Indonesia",earthquake,6.7,3.4,0.078,49,reviewed,us,us
2016-06-24T00:39:39.000Z,63.5034,-149.6068,103.9,1.3,ml,,,,0.57,ak,ak13690694,2016-06-24T01:19:22.401Z,"35km WNW of Cantwell, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
2016-06-24T00:39:08.600Z,19.111,-67.6725,10,2.8,Md,6,338.4,1.08246992,0.21,pr,pr16176002,2016-06-24T04:19:49.514Z,"91km NW of San Antonio, Puerto Rico",earthquake,11.4,16.3,0,4,reviewed,pr,pr
2016-06-24T00:20:16.130Z,38.8063333,-122.817,3.05,1.05,md,39,107,0.009846,0.05,nc,nc72654726,2016-06-24T02:48:02.266Z,"6km WNW of The Geysers, California",earthquake,0.21,0.29,0.114,10,reviewed,nc,nc
2016-06-24T00:14:02.500Z,17.9997,-66.9729,13,2.6,Md,8,140.4,0.07456017,0.23,pr,pr16176001,2016-06-24T03:50:19.921Z,"5km SW of Liborio Negron Torres, Puerto Rico",earthquake,0.9,0.8,0,7,reviewed,pr,pr
2016-06-24T00:07:12.600Z,1.4647,126.5762,19.89,4.7,mb,,93,1.048,1.1,us,us200066d5,2016-06-24T00:33:45.489Z,"115km NW of Kota Ternate, Indonesia",earthquake,7.5,4.5,0.078,50,reviewed,us,us
2016-06-23T23:42:58.000Z,59.2974,-152.1702,47.1,2,ml,,,,0.34,ak,ak13690028,2016-06-24T00:37:36.302Z,"52km SW of Homer, Alaska",earthquake,0.6,1.8,,,automatic,ak,ak
2016-06-23T23:38:57.330Z,32.777,-115.5351667,11.59,1.48,ml,13,157,0.07962,0.17,ci,ci37611424,2016-06-24T00:05:07.598Z,"2km ESE of El Centro, CA",earthquake,0.44,0.62,0.241,16,reviewed,ci,ci
