,q1,q2,q3,q4,q5,q6,gender,region
768,2,0,3,1,2,4,1,4
769,2,0,1,1,3,3,1,5
770,3,0,3,1,3,4,1,3
771,2,1,1,1,5,4,1,0
772,2,0,1,1,5,2,2,4
773,1,0,2,2,1,1,2,1
774,2,0,3,1,4,4,1,7
775,1,0,3,2,5,3,1,1
776,1,0,1,2,1,4,2,6
777,2,0,3,1,4,2,1,7
778,2,0,3,1,4,2,1,3
779,1,0,1,1,1,2,2,1
780,0,1,1,2,1,1,1,8
781,3,1,3,2,5,2,2,1
782,0,1,3,1,5,3,2,0
783,2,1,3,1,4,1,1,9
784,1,0,1,1,2,2,1,8
785,3,1,3,1,1,1,1,3
786,4,1,3,1,3,5,1,7
787,1,1,2,1,1,1,2,4
788,1,0,3,1,4,4,2,5
789,4,1,3,1,4,3,2,3
790,1,0,3,1,3,2,1,1
791,2,0,1,1,2,2,1,7
792,1,0,1,1,3,2,2,3
793,1,1,3,1,5,5,2,5
794,2,0,3,1,1,2,1,6
795,2,1,3,1,4,3,1,9
796,1,0,1,1,4,4,2,3
797,2,0,1,1,3,3,1,9
798,1,0,3,1,4,2,2,1
799,2,0,1,1,4,3,1,5
800,1,0,1,1,3,2,1,7
801,3,0,1,1,3,1,1,7
802,2,1,3,1,4,4,2,2
803,3,0,3,1,4,2,1,3
804,2,1,1,1,4,4,1,7
805,2,0,3,1,4,2,1,1
806,1,0,1,1,2,2,1,7
807,1,0,3,1,4,4,2,3
808,3,1,3,1,5,5,1,8
809,4,1,3,1,5,1,2,3
810,2,0,1,1,3,3,1,1
811,1,1,3,1,2,2,1,7
812,1,0,3,1,2,4,1,3
813,2,1,3,1,5,4,2,1
814,2,1,3,1,4,4,2,9
815,1,1,3,1,4,4,1,4
816,3,1,1,1,5,5,1,3
817,1,1,3,1,1,1,2,7
818,0,0,3,1,4,2,1,1
819,4,1,3,1,2,2,1,9
820,2,0,3,2,5,2,1,4
821,1,1,3,1,4,3,2,7
822,2,0,2,1,4,3,1,6
823,0,0,3,2,2,2,1,6
824,1,0,3,1,4,4,2,7
825,1,0,3,1,3,2,1,7
826,0,1,2,1,2,2,1,8
827,4,1,1,2,5,5,1,6
828,1,1,3,1,4,2,1,7
829,3,1,3,2,4,4,2,6
830,2,0,3,1,3,2,1,7
831,2,1,3,1,4,5,1,5
832,4,1,2,1,1,2,1,6
833,2,1,3,1,4,4,2,6
834,2,0,3,1,5,2,1,7
835,1,1,1,1,4,4,1,9
836,1,0,1,1,4,4,1,7
837,2,0,3,1,2,4,1,7
838,3,0,3,1,4,4,2,7
839,3,1,2,2,5,4,1,6
840,0,1,3,2,1,1,1,4
841,1,1,1,2,4,3,2,7
842,2,0,2,1,3,3,1,4
843,3,1,1,1,4,4,1,6
844,3,0,1,1,4,3,1,2
845,2,0,3,1,5,3,1,9
846,2,0,3,1,4,4,2,6
847,0,1,2,1,1,1,1,7
848,1,0,1,1,4,2,1,1
849,2,1,3,1,4,4,1,7
850,1,0,1,1,5,2,2,4
851,2,1,1,1,4,4,2,8
852,3,1,3,2,5,5,1,6
853,2,0,1,1,3,3,1,5
854,0,1,2,2,1,5,1,6
855,3,0,2,2,4,4,2,6
856,0,1,3,1,4,3,1,6
857,2,0,1,1,4,2,1,3
858,3,0,3,1,4,2,1,3
859,1,0,1,1,4,4,2,2
860,2,0,1,1,4,3,1,3
861,1,0,1,1,4,4,1,5
862,4,1,3,2,4,3,1,6
863,2,0,3,1,3,3,1,3
864,1,1,3,1,1,1,2,3
865,3,1,3,1,3,4,1,3
866,2,1,3,1,1,1,2,1
867,1,1,1,1,4,2,1,8
868,3,0,1,1,4,2,1,8
869,1,0,1,1,2,2,1,7
870,2,0,3,1,4,3,1,9
871,2,0,3,1,4,4,2,3
872,3,1,0,0,0,0,0,0
873,1,1,2,1,2,1,2,4
874,2,0,3,1,5,2,1,5
875,1,0,2,2,5,2,1,6
876,0,1,1,1,4,4,1,1
877,2,0,3,1,4,2,1,3
878,1,1,1,1,4,4,1,7
879,0,0,3,2,2,3,1,7
880,2,0,3,1,4,4,1,3
881,2,0,3,1,5,5,1,1
882,0,1,2,2,5,5,2,6
883,1,0,2,1,1,1,2,3
884,2,0,1,1,4,3,1,9
885,2,0,1,1,4,3,1,1
886,4,1,2,1,1,3,1,6
887,3,1,3,1,5,3,1,7
888,1,1,3,1,4,4,2,5
889,3,1,3,1,4,2,1,6
890,1,0,1,1,2,2,2,3
891,2,1,3,1,2,2,1,2
892,1,0,1,1,4,3,2,8
893,2,1,2,2,5,2,1,6
894,3,0,3,1,4,4,1,2
895,2,0,1,1,3,2,1,1
896,2,1,3,2,4,2,1,1
897,1,1,3,1,4,3,1,3
898,2,1,2,2,5,2,1,6
899,0,1,3,2,1,1,1,2
900,2,1,2,1,3,3,2,6
901,0,0,3,1,2,4,1,4
902,0,0,1,1,3,3,2,3
903,4,1,3,1,4,4,2,4
904,1,0,1,1,2,2,1,8
905,1,1,3,1,4,2,1,3
906,3,1,3,1,4,4,1,1
907,1,0,3,1,4,4,2,8
908,2,1,3,2,1,2,1,7
909,1,0,1,1,5,4,2,5
910,1,0,3,1,4,4,2,7
911,1,0,3,1,4,3,1,1
912,1,0,2,1,1,1,2,7
913,1,1,3,1,4,4,1,9
914,2,1,1,1,4,2,2,5
915,2,0,3,1,5,4,2,1
916,2,0,1,1,5,3,2,5
917,0,1,2,2,1,1,1,1
918,1,0,1,1,4,3,2,3
919,3,1,2,2,4,2,1,6
920,3,1,1,1,4,4,1,4
921,1,0,3,1,5,4,2,3
922,2,1,1,1,4,4,1,9
923,1,0,1,1,2,2,2,7
924,1,1,3,1,4,4,1,5
925,3,1,3,2,3,3,1,3
926,2,0,3,1,1,1,1,6
927,1,0,1,1,1,1,2,9
928,1,0,2,1,2,2,1,6
929,3,0,2,2,4,4,1,4
930,1,0,1,1,3,2,1,7
931,2,0,3,1,4,3,2,7
932,3,1,3,2,5,5,2,6
933,3,1,3,2,4,2,1,6
934,2,1,1,1,2,2,2,8
935,2,0,3,1,4,4,2,1
936,2,0,1,1,4,3,1,7
937,2,1,3,1,1,3,1,5
938,1,0,1,1,4,4,1,8
939,3,1,3,1,5,5,1,6
940,1,0,1,1,5,5,2,4
941,3,1,2,2,1,5,2,8
942,1,1,1,1,3,2,1,3
943,1,0,3,1,4,4,2,6
944,3,1,3,2,5,4,2,9
945,3,1,2,2,1,3,1,6
946,1,0,3,1,4,4,2,3
947,3,1,3,1,5,3,1,6
948,1,0,1,1,4,3,1,8
949,4,1,3,2,5,1,2,8
950,0,1,2,1,4,3,1,6
951,3,1,1,2,2,2,1,4
952,1,1,3,1,1,1,2,3
953,2,0,2,2,1,1,1,6
954,1,0,1,1,4,3,1,7
955,4,1,1,1,4,3,1,1
956,2,1,1,2,5,4,1,2
957,4,1,2,1,5,4,1,6
958,3,0,2,1,1,2,2,6
959,1,1,3,1,5,4,1,6
960,2,0,3,1,5,3,1,5
961,3,1,3,1,5,5,1,1
962,3,0,3,1,5,2,2,3
963,1,0,3,1,4,3,1,7
964,2,0,3,1,4,3,1,4
965,1,1,3,1,1,1,2,3
966,2,1,3,2,5,1,2,3
967,4,1,2,2,1,1,2,6
968,2,0,1,1,3,3,1,1
969,1,0,1,1,2,3,1,7
970,2,1,1,2,4,4,2,4
971,1,1,3,1,5,5,1,7
972,1,0,1,1,2,2,2,1
973,2,1,3,1,5,5,2,3
974,4,1,2,2,4,4,1,6
975,1,0,3,1,3,2,1,1
976,2,0,1,1,4,2,1,4
977,3,0,3,1,2,2,1,2
978,2,0,3,2,4,4,1,7
979,1,1,1,1,4,2,1,9
980,2,0,2,1,1,1,2,9
981,1,0,3,1,4,5,1,8
982,0,1,3,1,2,2,1,7
983,2,1,2,2,1,2,2,6
984,2,0,1,1,3,3,1,0
985,1,0,3,1,5,4,2,6
986,2,0,1,2,3,3,1,1
987,1,0,1,1,1,4,1,7
988,0,1,2,2,1,1,1,6
989,2,1,1,1,4,3,1,1
990,2,0,3,1,1,1,1,5
991,4,1,3,1,1,3,1,6
992,1,0,0,0,0,0,0,0
993,2,1,3,1,5,4,2,5
994,1,0,3,1,5,2,1,2
995,1,0,3,1,4,2,1,7
996,1,0,1,1,5,3,1,3
997,3,0,3,1,3,3,2,6
998,2,1,3,1,5,2,1,1
999,1,0,1,1,2,4,1,5
1000,2,0,1,1,4,2,1,3
1001,2,1,2,1,1,4,1,7
1002,1,0,2,1,5,4,2,4
1003,3,1,3,2,4,4,2,6
1004,1,0,1,1,2,2,1,1
1005,2,0,1,2,4,4,1,8
1006,1,0,3,1,5,4,2,1
1007,1,0,1,1,4,4,1,5
1008,1,0,3,1,5,3,2,6
1009,3,0,2,2,1,4,1,6
1010,0,0,3,1,4,4,1,3
1011,2,0,1,1,4,4,1,1
1012,2,0,3,1,0,0,0,0
