,q1,q2,q3,q4,q5,q6,gender,region
176,0,0,3,1,3,3,2,0
177,1,0,3,2,2,2,2,6
178,0,1,3,1,5,4,2,7
179,1,1,2,2,1,1,2,4
180,2,0,3,1,1,1,2,8
181,1,0,1,1,4,3,2,7
182,1,1,3,2,2,2,2,0
183,2,1,1,1,2,4,2,0
184,1,0,3,2,3,3,2,6
185,2,0,1,1,4,3,2,2
186,1,0,1,1,4,2,2,3
187,2,1,3,1,5,2,2,7
188,4,0,2,2,5,5,2,6
189,1,0,3,1,4,3,2,9
190,1,0,1,1,3,2,2,1
191,3,1,3,1,4,3,2,3
192,3,1,3,1,4,4,2,3
193,1,0,2,2,1,1,2,3
194,3,1,2,1,5,3,1,3
195,2,1,3,2,5,5,2,5
196,3,1,1,1,4,4,2,1
197,2,1,3,1,5,3,1,7
198,2,0,1,1,4,4,2,8
199,2,1,1,1,5,5,2,1
200,1,0,1,1,2,2,1,1
201,4,1,2,1,4,4,1,4
202,3,0,1,1,4,5,2,7
203,2,1,3,1,4,3,2,7
204,3,0,3,2,5,4,2,4
205,1,1,3,1,5,5,2,3
206,3,0,1,1,3,3,2,7
207,1,0,1,1,4,3,2,9
208,2,1,2,2,1,5,2,6
209,3,0,2,1,4,5,1,6
210,1,0,3,1,5,2,2,3
211,1,1,2,2,1,1,2,9
212,3,0,3,1,2,5,1,6
213,1,0,1,1,3,4,1,4
214,4,1,1,1,4,4,1,1
215,2,1,3,1,5,4,2,7
216,1,0,1,1,1,1,2,2
217,3,1,3,2,5,5,2,3
218,2,1,2,2,1,2,1,6
219,4,1,3,1,4,3,1,6
220,1,0,1,1,2,2,1,9
221,1,1,1,1,2,2,2,1
222,3,0,1,1,4,4,1,8
223,3,0,3,1,3,4,1,6
224,2,0,3,1,2,2,1,2
225,1,0,1,1,5,4,2,1
226,0,0,3,2,1,4,2,7
227,2,0,1,1,4,2,1,8
228,3,1,3,1,5,1,1,3
229,1,0,1,1,2,2,2,9
230,3,1,3,1,4,3,1,7
231,4,1,2,2,4,4,1,6
232,2,0,3,2,5,4,1,2
233,1,0,1,1,4,4,2,1
234,2,1,2,1,4,4,2,4
235,2,1,1,1,5,5,2,5
236,0,0,3,1,2,2,1,0
237,1,0,3,1,1,1,2,7
238,4,0,1,2,3,4,2,7
239,2,0,3,1,4,3,2,9
240,2,0,3,1,4,2,1,7
241,4,0,1,1,2,2,2,1
